Term,Clinton,Trump
and democrats,1.343253439,0.74446115
and families,1.484150951,0.67378591
and for,0.758111047,1.31906797
and for all,2.124781218,0.47063669
and freedom,0.211671408,4.724303632
and gentlemen,0.587405636,1.702401099
and he,0.595690442,1.678724267
and he is,0.833134655,1.200286165
and help,1.692427325,0.590867321
and hillary,0.611913005,1.634219231
and it,0.811348754,1.232515604
and make,1.197543265,0.835042899
and make sure,1.019921257,0.980467848
and mean,0.416876875,2.398789808
and more,0.959743815,1.04194472
and others,1.157971079,0.863579426
and our,1.108854788,0.90183134
and particularly,1.385189087,0.7219231
and said,0.839472395,1.1912244
and say,0.944706123,1.05853024
and sellers,1.899784734,0.526375427
and she,0.718497117,1.391794032
and small,1.41140842,0.70851214
and support,1.027291084,0.973433933
and their,1.357670786,0.736555585
and their families,1.533660601,0.652034746
and they,0.742102267,1.34752317
and they are,0.585340856,1.708406289
and they said,0.955098974,1.047011909
and they say,0.520380372,1.92167125
and to,0.753140367,1.327773738
and universities,2.154974669,0.464042578
and very,0.436285387,2.292077684
and want,0.73629822,1.358145346
and want you,1.85903737,0.537912802
and we,0.796899809,1.254862893
and we know,2.732333062,0.365987593
and we need,1.628476304,0.614070955
and we re,1.197811966,0.834855577
and will,1.102625206,0.906926483
and women,0.883934253,1.13130586
and work,1.588368125,0.629576975
and yet,0.558500615,1.790508323
and you,0.832334214,1.201440459
angry,0.803003533,1.245324533
angry at,0.501220027,1.99513177
announced,0.552121613,1.811195173
anybody,1.1526606,0.867558065
anymore,0.509367606,1.963218681
anyone,1.504386692,0.664722711
anything like,0.786312037,1.271759751
anyway,0.343035832,2.915147361
appalachia,2.047824152,0.488323179
approach,6.790295466,0.147268997
arab,1.834056032,0.545239612
are,1.08546682,0.921262614
are going,0.558330731,1.791053125
are going to,1.34536075,0.74329506
are great,0.855842558,1.168439207
are leaving,0.727614061,1.374354969
are lot,1.478476235,0.676372049
are lot of,1.405050402,0.711718241
are more,3.014976301,0.331677566
are some,2.69681501,0.370807785
are still,1.408037492,0.710208362
are stronger,1.798710374,0.555953874
are talking,0.618764481,1.616123794
are talking about,0.273946766,3.650344248
are very,0.466767764,2.142393023
areas,1.847524779,0.54126473
argument,3.387316066,0.295218982
arkansas,6.032626941,0.165765264
around,1.465291212,0.682458198
around the,2.760868538,0.362204859
around the country,1.957972752,0.510732337
around the world,1.138884104,0.87805247
as,1.502312874,0.665640305
as an example,0.610364764,1.638364563
as first,1.229968448,0.813028986
as hard,2.058777616,0.485725118
as hard as,1.348655716,0.74147908
as have,2.014297683,0.496450951
as percentage,1.864708676,0.536276799
as percentage of,1.759669569,0.568288511
as president,1.484883162,0.67345366
as president will,2.388057474,0.418750391
as secretary,1.236391329,0.808805413
as senator,1.755772105,0.569549999
as they,1.258428784,0.794641709
as we,1.315826951,0.759978354
as well,1.503346128,0.665182809
as you know,0.627875358,1.592672792
as your,1.077822314,0.927796713
as your president,0.801181833,1.248156109
ask them,1.387304844,0.720822106
assad,2.533864691,0.394654065
at home,1.455556081,0.687022653
at home and,1.320007474,0.757571468
at night,1.418115822,0.705161021
at stake,2.195355503,0.455507092
at the,1.375773035,0.726864079
at the end,1.033643169,0.967451854
at the top,1.152584942,0.867615013
at what,0.737557307,1.35582685
at what is,0.963405237,1.037984808
attacks,1.490343886,0.670986079
attention,7.607847179,0.131443229
attention to,1.782711964,0.560943114
auto,4.720493711,0.211842248
auto industry,1.374741685,0.727409383
avenue,0.878701068,1.138043456
avoid,4.712293855,0.212210875
avoid paying,1.694188025,0.590253257
back as,1.4482975,0.690465875
back the,4.553319297,0.219620004
background,1.55844456,0.641665431
background checks,2.176057596,0.45954666
bad,0.368577846,2.713131052
badly,0.187911195,5.321662711
balance,1.312371553,0.761979333
barbara,3.516322958,0.284387985
barbara jordan,1.323168043,0.755761905
bargain,2.071088648,0.482837855
barrier,1.999026605,0.500243467
barriers,1.055734842,0.947207537
barriers that,1.064238935,0.939638616
be able,1.015913495,0.984335778
be able to,1.125985579,0.888110842
be better,3.082339446,0.324428901
be done,1.098597893,0.910251154
be great,0.560978056,1.782600921
be nice,0.497491397,2.010085011
be part,0.993915538,1.006121709
be part of,1.449578404,0.689855752
be president,1.610094583,0.621081526
be secretary,1.968845379,0.507911901
be so,0.361403353,2.766991484
be successful,1.343586163,0.744276793
be very,0.284050298,3.520503255
be your,2.508851783,0.398588712
beat,1.047006396,0.955104003
beautiful,0.325423155,3.072922084
because the,0.77059141,1.297704578
because they are,0.676970698,1.47716881
begin,1.082466909,0.923815769
begin to,1.382884488,0.723126196
behalf,0.656815262,1.522498118
behalf of,1.37918898,0.725063798
behavior,1.561446898,0.640431642
behind,1.828508297,0.546893882
being paid,2.066261344,0.483965885
believe,1.536200172,0.650956834
believe me,0.149526703,6.687768682
believe that,1.074474803,0.93068725
believe that we,1.914397964,0.52235743
believe we,1.371934439,0.728897804
ben,0.405471058,2.466267269
benefits,2.040765862,0.490012117
bernie,0.268620016,3.722730771
bernie sanders,0.648799774,1.541307565
best days,1.646005992,0.607531203
better,1.046562941,0.955508704
better future,1.004174099,0.995843252
better job,1.057944543,0.94522913
better when,1.838098612,0.544040452
better when we,1.584810161,0.630990402
between,1.701874288,0.587587466
bigger,0.446519584,2.23954343
biggest,0.927214945,1.078498579
bigotry,2.755524128,0.362907365
billion,0.720432903,1.388054316
billion and,0.956759766,1.045194452
billion more,1.463118549,0.683471616
billion more solar,1.053921827,0.948836976
bipartisan,2.292072754,0.436286326
birth,1.737283676,0.575611234
birth control,1.738900036,0.575076186
bit,0.315720991,3.167353547
black,2.572240821,0.388766088
bobby,0.539024151,1.855204442
bobby knight,0.659426631,1.516468934
boeing,0.472569053,2.11609286
book,0.396141098,2.524353077
border,0.541814903,1.845648752
borders,0.301583194,3.31583463
borrow,2.226476342,0.449140187
both,1.880725318,0.531709756
both sides of,1.448380535,0.690426291
break,1.469808309,0.680360829
break down,1.716374504,0.582623429
break down all,1.102446253,0.907073699
break down barriers,1.276735554,0.783247554
bring it,0.372478518,2.684718583
broadband,2.403842095,0.416000702
broader,3.37124494,0.296626326
brothers,2.299831178,0.434814525
budget,0.534625322,1.870468828
build an,1.308367231,0.764311408
build on,1.635429923,0.611460012
build on the,1.429859167,0.699369576
build wall,0.798778321,1.251911793
buildings,0.238781208,4.18793426
built,0.746557672,1.339481245
bullets,0.384914909,2.597976793
businesses,0.796312191,1.255788887
but,0.772811186,1.29397713
but also,1.042866478,0.958895526
but as,1.902900337,0.525513597
but he,0.875254844,1.142524382
but they,0.489196102,2.044170009
but they are,1.07308274,0.93189459
but you,0.636049784,1.572203977
by far,1.078719367,0.927025166
by making,1.863865399,0.536519429
by the,0.775429876,1.289607264
by the end,1.076382416,0.929037845
by the way,0.296171918,3.376417336
california,0.545695448,1.832523991
call,0.857853264,1.165700525
came,0.944125483,1.05918124
came down,0.617123548,1.620421071
came out,0.890231854,1.123302874
cameras,0.502631671,1.989528431
campaign,1.470077347,0.680236317
campaign and,0.737485847,1.355958224
can,1.205687329,0.82940243
can afford,1.179126693,0.848085287
can do,0.881853734,1.133974901
can do to,1.426195517,0.701166136
can to,4.337383501,0.230553743
can to make,1.221718553,0.818519124
care,1.259984579,0.793660507
care act,1.420040635,0.7042052
care of,0.590502522,1.69347287
care of our,0.769892113,1.298883289
care they,1.953629754,0.511867716
care to,1.30928832,0.763773712
career,1.168002378,0.856162641
carl,0.282426921,3.540738954
carrier,0.433647069,2.306022735
cars,0.501961498,1.992184666
carson,0.585648342,1.707509317
century,1.737550993,0.575522678
challenge,4.837813651,0.206704944
challenges,2.995333053,0.333852691
chance,1.826457635,0.547507909
chance to,1.50206765,0.665748976
chance to live,1.118211074,0.894285545
change,0.656020009,1.524343749
changes,1.479318736,0.675986841
charge,0.293341265,3.408998735
charleston,2.591739491,0.385841248
cheers,2.907438391,0.343945379
cheers and,1.260725804,0.793193886
chief,0.818256638,1.222110465
child,1.365563334,0.732298514
childcare,2.603410028,0.384111603
childhood,1.591949176,0.628160757
childhood education,1.45964729,0.685097014
children,1.553493009,0.643710653
children and,0.74303128,1.345838361
children defense,1.599816628,0.625071638
children health,1.180343441,0.847211045
children health insurance,1.136948878,0.879547022
children in,1.591620478,0.628290484
china,0.578111002,1.729771613
china and,1.010924828,0.989193234
china is,0.810097726,1.234418969
choices,3.53749207,0.282686146
christian,0.117320528,8.523657548
cities,1.191581001,0.839221168
citizens,0.94888545,1.053867988
citizens united,4.357712354,0.229478203
citizenship,1.430791824,0.698913695
city,1.323547224,0.755545387
civil,1.586502829,0.630317187
civil rights,0.915671376,1.092094856
class,1.59819941,0.625704148
class families,1.231193136,0.812220253
class life,1.47540845,0.677778414
clean,1.828527781,0.546888054
clean energy,2.581637866,0.387350997
clean energy superpower,1.26481615,0.790628741
clean renewable,1.299922187,0.769276815
clear,2.850916885,0.350764347
climate,5.639923314,0.177307375
climate change,4.47823741,0.223302141
climate change and,1.185410137,0.843589884
cnn,0.871542774,1.147390615
coalition,1.989511656,0.502635909
code,2.748085937,0.363889639
colleagues,2.353187304,0.424955548
college,5.189437465,0.192699114
college affordable,1.032708954,0.968327036
college and,0.704996326,1.418447108
college or,1.326796485,0.753695093
college or university,1.179463233,0.8478433
colleges,3.488843361,0.286627944
colleges and,1.080292232,0.925675452
colleges and universities,2.068532558,0.483434499
com,5.719834705,0.174830227
combat,1.223278819,0.81747512
combat climate,1.156724108,0.864510382
come in,0.332582391,3.006773745
come into,0.818588822,1.221614532
coming,0.853965623,1.171007325
coming in,0.327370376,3.054644138
commander,1.685171075,0.593411562
commander in,1.397777447,0.715421473
commitment,3.366176525,0.297072953
commitment to,0.842456968,1.187004248
committed,1.186001668,0.843169135
committed to,1.352071723,0.739605734
common,1.46875961,0.680846609
common core,0.274643729,3.641080768
common ground,1.530715075,0.653289444
common sense gun,1.050891054,0.951573425
communities,2.89595173,0.345309623
communities and,1.008009139,0.992054497
communities that,2.013710964,0.496595598
community,1.526876982,0.65493161
community college,1.678499489,0.595770214
compact,2.127008897,0.470143779
comprehensive,1.664626983,0.600735186
comprehensive immigration,1.326346135,0.753951004
congress,0.759152667,1.3172581
conservative,0.182663876,5.474536195
consumers,1.929550218,0.518255493
continuing,3.736515591,0.267629018
controlled,0.704995999,1.418447766
conversation,3.528166256,0.283433355
convinced,4.592403901,0.217750882
corporations,4.362438818,0.229229576
corporations and,0.994617628,1.005411499
correct,0.259997064,3.846197282
costs,1.830720646,0.546232983
council,1.569118589,0.637300461
count on,2.498992763,0.400161223
counterterrorism,1.667501354,0.599699663
countries,0.891520327,1.121679416
country safe,2.216817846,0.451097054
couple,0.447149797,2.236387017
couple of,0.41245896,2.424483638
course,3.094159756,0.323189518
coverage,3.403873153,0.29378298
create,1.209776248,0.826599135
create more,1.238166971,0.807645514
create the,0.83019888,1.204530655
creating,3.474308927,0.287827024
credible,3.080997891,0.324570167
credit,1.327363611,0.753373071
credit he,1.129430164,0.885402243
credit he deserves,1.279215378,0.781729189
criminal justice,1.054913652,0.947944884
criminal justice reform,1.169579436,0.855008193
crisis,0.925360072,1.080660416
crisis since,1.067041227,0.937170912
crooked,0.788604681,1.268062471
crowd,0.472452238,2.116616072
crowds,0.608355065,1.643776895
cruz,0.411983546,2.427281402
currency,0.436355648,2.291708619
david,0.270572918,3.695861386
deal,0.70004385,1.428481944
deal me,1.408206251,0.71012325
deal with the,1.190543054,0.839952824
deals,0.221567255,4.513302283
debt,1.963908473,0.509188699
debt and,0.942461809,1.061050953
debt free,1.246012366,0.802560253
decisions,2.201992924,0.454134066
deeply,3.877209783,0.257917434
defeat,2.002359375,0.499410851
defeat isis,1.129809618,0.885104875
defend,1.245951782,0.802599277
defend the,0.878611678,1.138159241
defense,0.715900815,1.396841544
deficit,0.476823816,2.097210681
deficit with,0.838269182,1.192934229
delegates,0.258484165,3.868708942
delighted to,2.296664899,0.435413978
democracy,3.074062069,0.325302475
democrat in,1.3968145,0.715914676
democratic,5.473407333,0.182701549
democratic party,0.787597671,1.269683796
democrats,0.973597578,1.027118414
deny,1.921962333,0.52030156
depression,3.251531545,0.307547378
deserve,1.700944188,0.587908767
deserve to,1.556243858,0.642572817
deserves,3.671097032,0.272398139
deserves for,1.304829062,0.766383911
did,0.761656583,1.312927667
did you,0.560871315,1.782940176
didn,0.875908157,1.141672209
difference in,1.499985606,0.666673064
difficult,2.671718797,0.374290888
dignity,1.573141599,0.635670687
diplomacy,2.517858462,0.397162912
disabilities,1.625859587,0.615059263
disaster,0.444699244,2.248710815
discrimination,2.753456687,0.363179855
discrimination against,1.214262807,0.823544948
discrimination against the,1.047567852,0.954592104
dishonest,0.467049825,2.141099185
ditch,1.897235909,0.527082581
do,1.016508957,0.983759162
do as,2.086120446,0.479358707
do better job,1.161067849,0.86127611
do everything,2.620735305,0.381572301
do everything can,1.41769539,0.705370143
do everything we,1.033726159,0.967374185
do great,0.579241815,1.726394702
do in,1.085989442,0.920819265
do it,0.90162674,1.109106414
do more,1.025823087,0.974826959
do more to,0.591138939,1.691649686
do to,2.812257485,0.355586217
do to make,1.684820911,0.593534894
do together,1.321172592,0.75690338
do well,0.29483295,3.391751155
do you,0.349747605,2.859204707
do you think,0.785882082,1.272455528
do your,0.908439409,1.10078888
do your part,1.158907906,0.862881334
does better when,1.132922955,0.882672556
doesn,0.621424531,1.609205865
doing everything,1.455534994,0.687032606
dollars,0.696364795,1.436028943
don,0.785665286,1.272806649
don care,0.4234382,2.36161971
don know,0.938711683,1.06528982
don know if,0.598506146,1.67082662
don like,1.027223507,0.973497971
don want,0.316209062,3.162464708
don want to,2.202619554,0.454004868
don win,0.496277269,2.015002624
donors,0.593931907,1.683694692
doors,1.751484013,0.570944406
doubt,1.754713208,0.569893699
down all,1.789016023,0.558966486
down all the,1.642470982,0.608838762
down barriers,1.69568523,0.589732093
down economics,1.701323796,0.58777759
down on,3.900189986,0.256397766
dreams,1.539157245,0.649706197
drug,3.434045635,0.291201721
drug costs,1.362170557,0.73412246
each,1.831507348,0.545998355
each other,2.643890685,0.378230464
early,0.821213736,1.217709783
early childhood,1.519595175,0.658070002
earned,1.841673498,0.542984411
easier for,1.471501731,0.679577862
east,0.875718228,1.141919818
economic,1.728206551,0.578634538
economics,0.942230862,1.061311022
economy,3.427223708,0.291781362
economy and,0.958790801,1.042980386
economy that,1.35238291,0.73943555
education,1.267296473,0.789081341
education and,0.958039448,1.043798355
effective,2.775880913,0.360246002
effects,1.977903115,0.505585937
effects of,1.362156531,0.734130019
effort,1.426441849,0.701045052
effort to,1.78462302,0.56034243
efforts,2.342859155,0.426828902
efforts to,1.390051034,0.719398048
either,1.71767372,0.582182744
elect,1.718945119,0.581752139
election,1.629449923,0.61370404
elementary,1.258961731,0.794305319
emergency,4.464770846,0.223975661
end,1.554164325,0.643432605
end of,2.008085152,0.49798685
end of my,1.173026925,0.852495351
end the,2.3252671,0.430058121
endorsement,0.296068176,3.377600429
energy,0.96037681,1.041257962
energy to power,1.104627907,0.905282217
enforce,2.707283469,0.369373954
enforcement,1.019305615,0.981060033
enough,3.202509659,0.312255108
enough clean,1.016136776,0.984119484
enough to,0.793607834,1.260068206
enough to be,1.046021865,0.956002961
entrepreneurs,1.385195499,0.721919758
epidemic,2.984897959,0.335019828
equal,1.157803758,0.863704227
equal pay,1.980950927,0.504808063
equal pay for,1.177906911,0.848963522
equality,2.772401222,0.360698153
equality and,1.158201387,0.863407704
escalator,0.636259034,1.571686917
especially,1.094905501,0.913320829
establishment,0.250632962,3.989898188
estate,0.944534507,1.058722569
european,1.066952867,0.937248524
evangelicals,0.355436967,2.813438364
ever,0.721567632,1.385871478
ever before,0.322657498,3.099261619
ever seen,0.532271307,1.878741135
every,1.248356953,0.801052934
every american,0.702471238,1.423545828
every child,1.732060596,0.577347006
every child in,1.0443413,0.957541371
every day,1.178256249,0.848711816
every home,1.523782283,0.656261732
every home in,1.065809864,0.938253655
every single day,1.720356247,0.581274955
every time,0.444255753,2.250955654
everyone,1.641325273,0.609263755
everyone not,0.78652883,1.271409212
everyone not just,1.036755715,0.964547371
everyone who,0.99700045,1.003008574
everything,1.584873597,0.630965146
everything can,1.448173098,0.690525188
everything can to,1.275512866,0.783998364
everything we,2.211431766,0.452195729
everything we can,1.020326225,0.9800787
evidence,1.16042653,0.8617521
excited,3.587844913,0.278718848
expand,2.418803307,0.413427581
exploit,1.366790335,0.731641112
extend,1.497328246,0.667856232
eyes,1.11556629,0.896405717
face,1.781418171,0.561350511
faced,1.979714837,0.505123254
faces,3.217733602,0.310777747
facilities,1.095784933,0.912587836
facing,1.369284328,0.730308512
fair,0.963868048,1.037486409
fair share,1.127264846,0.887102976
families,3.436296912,0.291010942
families and,1.606549349,0.62245209
families are,1.833338943,0.545452876
families who,0.994751629,1.005276062
family,1.890033043,0.529091279
family leave,1.080886688,0.925166358
fantastic,0.679779077,1.471066165
faster,1.185055706,0.843842188
federal,1.873183952,0.533850399
federal government,1.194009737,0.837514108
feel like,3.72444998,0.268496021
fellow,2.115589376,0.472681519
fight,1.340816232,0.74581436
fight against,1.993977415,0.501510194
fight for,1.210536877,0.82607975
fight to,0.852670869,1.172785463
fighters,4.062042692,0.246181558
fighting,1.04576812,0.956234925
fighting for,1.738907596,0.575073685
fighting to,1.433869894,0.697413346
figure,1.469940732,0.680299537
figure out,2.09080161,0.478285455
figure out how,1.649195597,0.606356215
finally,1.12948014,0.885363066
financial,0.828256255,1.207355808
financial crisis,1.801923662,0.554962467
find,1.245054478,0.803177706
find common,0.965557061,1.035671573
fine,0.582620361,1.716383544
first,1.290478906,0.774906119
first job,2.46083256,0.406366535
first lady,2.243377081,0.445756538
first term,1.288858872,0.775880139
five,0.287132993,3.482706709
flint,4.814795663,0.207693134
florida,0.292974769,3.41326321
focus,1.613469068,0.619782566
focus on,1.460771427,0.684569798
focused,1.199568876,0.833632832
focused on,3.01349728,0.331840353
folks,0.665046333,1.503654634
for,1.16247325,0.860234849
for all,0.924976559,1.081108479
for equal,1.16486825,0.858466183
for every,0.773022675,1.293623114
for everybody,2.227930097,0.448847117
for everyone,1.001727443,0.998275536
for example,2.857219578,0.349990602
for families,0.842255343,1.187288402
for more,1.996364529,0.500910523
for more than,2.224585281,0.449521989
for people,1.135456925,0.880702718
for people who,2.167963083,0.461262467
for the future,1.720568693,0.581203183
for the wall,0.72324093,1.38266511
for their,1.304956064,0.766309324
for themselves,1.787398322,0.559472384
for those,0.956706073,1.045253112
for us to,2.014152706,0.496486685
for women,2.185170398,0.457630215
forces,3.317715308,0.301412239
ford,0.350785845,2.850742166
former,3.049886694,0.327881033
forth,1.753612788,0.570251316
fortunate,2.219984241,0.450453648
fortunate enough,1.508009202,0.663125927
fortune,0.353140554,2.831733676
forward,4.072617679,0.245542322
forward to,0.801176337,1.248164672
fought,2.112589105,0.473352815
four,0.75070214,1.332086252
four year,2.133750032,0.468658458
four years ago,0.790741011,1.264636571
fox,0.231567212,4.318400653
frankly,0.168037592,5.951049318
free trade,0.4601417,2.17324359
friend of,0.516466079,1.936235584
friend of mine,0.715494261,1.397635249
from,1.278015033,0.782463409
from china,0.639744422,1.563124219
front lines,1.713374273,0.583643642
fulfill,2.586563067,0.386613423
full,1.182522832,0.845649634
full time,2.347226959,0.426034643
fund,1.421690831,0.70338781
future,1.62975165,0.61359042
future and,1.307802591,0.764641397
future that,2.527040914,0.39571975
gave,0.489820795,2.041562978
gave me,0.355277592,2.814700458
gender card,1.276594437,0.783334136
general,0.349325376,2.862660624
generation,1.861953079,0.537070462
generations,1.515892399,0.659677429
gentlemen,0.580693922,1.722077608
george patton,0.698406203,1.431831499
get,0.738387889,1.354301737
get ahead,1.58001584,0.632905047
get ahead and,1.333960619,0.749647318
get along,0.424081283,2.358038518
get back,1.440116569,0.694388233
get equal,1.292457019,0.77372012
get more,1.16578994,0.857787468
get rid,0.910636257,1.098133302
get the,1.682015876,0.594524709
get the cost,1.099257082,0.909705306
get the economy,1.065066807,0.938908239
get to,1.872831527,0.533950857
get up every,1.281253657,0.780485577
gets the,0.96340802,1.03798181
gets the credit,1.160127602,0.861974147
girls,2.845734713,0.3514031
give people,2.196544399,0.455260545
given potential,1.268110884,0.788574574
go after,3.161121017,0.316343473
go in,0.390888938,2.558271424
go out,0.719282945,1.390273476
go to college,1.478501579,0.676360455
goals,2.313608269,0.432225288
god given,0.431459899,2.317712496
god given potential,1.250963362,0.799383923
going,0.816972931,1.224030763
going on,0.715027942,1.398546743
going to,0.620791249,1.61084745
going to be,0.748970928,1.335165308
going to bring,0.510493979,1.958886963
going to build,0.479077028,2.087347005
going to come,0.62422816,1.601978354
going to defend,1.620369895,0.617143038
going to get,0.545675323,1.832591575
going to happen,1.113498659,0.898070233
going to have,0.637947845,1.567526262
going to make,0.614702632,1.62680286
going to mess,0.816000168,1.225489944
going to pay,0.595687515,1.678732514
going to say,0.638616524,1.565884945
going to win,1.164201271,0.858958004
golf,0.224197613,4.460350781
good jobs,1.818222745,0.54998762
good partner,1.523153551,0.656532626
good paying,1.531926306,0.652772915
good paying jobs,0.919827372,1.087160515
got to,1.567655959,0.637895065
government,0.750940624,1.331663207
grandchild,3.521293967,0.283986514
granddaughter,5.599185314,0.178597411
granddaughter of,1.113078353,0.89840935
grandmother,5.126987059,0.195046328
grandparents,3.914128074,0.255484742
grateful,3.840286392,0.260397246
grateful for,1.518778241,0.658423971
grateful to,0.851896233,1.173851886
great,0.475351614,2.103705909
great again,0.362063401,2.761947207
great and,0.39695644,2.519168097
great company,0.567833147,1.761080707
great depression,2.768423309,0.361216436
great guy,0.677095011,1.476897606
great job,0.456725036,2.189501171
great people,0.277824608,3.59939318
great recession,2.354391194,0.424738252
greatest,0.415386613,2.40739583
ground,3.513894277,0.284584544
grow,0.903966343,1.106235876
growth,1.04539529,0.956575957
growth and,2.409129758,0.415087646
guarantee you,0.763060358,1.31051232
guard,2.358687182,0.423964656
gun,3.568373633,0.280239712
gun lobby,1.175878174,0.850428235
gun owners,1.810250223,0.55240982
gun safety,1.65575193,0.603955207
gun safety measures,1.087862744,0.919233612
gun violence,1.914618695,0.522297209
guy,0.132072132,7.571620037
guy and,0.841590784,1.18822594
guys,0.180703539,5.533925936
had,0.982219886,1.018101969
had an,0.39770997,2.514395098
had been,2.044915402,0.489017785
half billion,1.116976338,0.895274113
happen,1.19148402,0.839289477
happened,0.707782236,1.412863941
happening,0.747197791,1.338333722
hard,2.751692419,0.36341271
hard and,0.963330491,1.038065346
hard as,1.022642683,0.977858656
hard look,1.547398768,0.646245829
hard look at,1.50086299,0.666283336
hard to,0.57111761,1.750952837
hard work,1.864939275,0.536210489
hard working,0.685443942,1.45890851
hard working people,1.575754462,0.634616639
harder,1.689410235,0.591922541
has chance,1.258880072,0.794356843
have chance to,1.818061541,0.550036386
have democrat,1.182242112,0.845850431
have ever,1.609985024,0.62112379
have got,2.032533884,0.491996718
have got to,1.059755758,0.943613651
have great,0.806871718,1.239354382
have heard,2.514413834,0.397707007
have laid,1.464128835,0.683000004
have made,2.27266864,0.440011352
have never,0.795728889,1.256709431
have never seen,0.867589722,1.152618541
have people,0.808906284,1.236237152
have president,0.313514875,3.189641322
have thousands,0.353179572,2.831420841
have to,1.076440354,0.92898784
have to borrow,1.349570392,0.74097654
have to make,1.761986664,0.567541185
have won,0.73985499,1.351616214
have work,1.174813981,0.851198587
have worked,1.451109068,0.689128076
he,0.886250163,1.128349582
he deserves,1.352737783,0.739241568
he deserves for,1.239396991,0.806843979
he did not,0.422034888,2.369472353
he is,0.874427267,1.143605692
he is going,0.817263634,1.223595372
he was,0.951629141,1.050829527
head of,0.462465047,2.16232558
heads,0.26281147,3.805008964
health,1.92409052,0.519726068
health care,1.189357898,0.840789809
health care they,1.061348502,0.94219759
health insurance,0.792635156,1.261614492
health insurance program,1.063314554,0.94045548
health problems,1.11431151,0.897415122
hear from,1.550004121,0.645159575
heart,1.27895777,0.781886645
hell,0.360357578,2.775021428
hell out,0.633854809,1.577648361
hell out of,0.707114881,1.414197362
help,1.923388007,0.519915897
help people,1.301549027,0.768315276
help them,0.943217084,1.060201323
